Group;Total;Novelle (CATMA_107A613D-6FDF-4D8C-BEA0-45F635906515);NinaNovelle (CATMA_02144EEC-DFFA-43E6-AF96-08B9475BA9B3);Novelle - BA (CATMA_22CEEB64-FAE9-40C9-9420-15C288BACCDD);Negationen (CATMA_39DABD06-FA36-4ED8-A1EE-5134D0865DDE);Novelle - RA (CATMA_7F7E0907-3976-4594-8EC2-CB6AFA9BE0C4);JuliaNovelle (CATMA_CF61A733-367C-4244-8DA7-76FC3C3747A8);Die guten Weiber (CATMA_11CC92FD-3140-4269-89F7-E0CB18AE07B1);AH (CATMA_0B982D42-BDC5-48EB-B8A3-D570C253AE2E);RT (CATMA_312E0F48-83FC-4251-9E2A-841DBFBA23EF);Die guten Weiber RT (CATMA_DADBF4E3-1B15-4855-9350-D18D9AD57B19);Die-guten-Weiber (CATMA_FB2940CE-AEE1-416F-BDDA-757F87360851);Wahlverwandtschaften (CATMA_18BAFC3D-2234-4027-B640-B9D351F4B39F);Wahlverwandschaften AH (CATMA_88E1C752-2B4A-4203-AC78-5A873485C0D0);Wahlverwandschaften RA (CATMA_90F95DC3-326D-43AD-B5FA-ECF8F39B82EB);Negationen (CATMA_A6281CF8-524B-4D4D-8BD9-0FAA5F4CBB8D);Wahlverwandtschaften RT (CATMA_AA0DF310-AA5E-4E67-9CF6-BEE5FB8F3987);Intrinsic Markup (C_D84FA54F-4369-4519-B9DD-3BA7C1419CB5);Unterhaltungen deutscher Ausgewanderten (CATMA_247FA951-9E45-41D2-AA91-E78A05400BCC);Unterhaltungen-BA (CATMA_22E44727-3A19-4B47-BCF9-9DAFACBDA88F);Negationen (CATMA_451455DA-4E57-4DBA-ACA7-DD07C2D8F9BD);NL (CATMA_D311DA8F-F52E-47BA-AC32-20B0A6433240);Hermann und Dorothea (CATMA_2F966BE4-CC2C-4322-AEAD-FDD1E753D02C);RT (CATMA_33280756-8D32-4677-AAAD-5E4B0A0B559A);AH  (CATMA_3610025C-7068-4088-B2E3-3DF29CBCE2C6);Nina (CATMA_3FBB20FB-44E6-4709-8FD6-1C54C332FF6D);Negationen (CATMA_8BE83E71-8800-48E4-9E5D-0E1603F01120);JH (CATMA_90F67794-BD72-4356-9404-51674DF3A7DB);AH 2 (CATMA_989A4105-572C-4321-8F87-C9EF33C94E6D);Wilhelm Meisters Wanderjahre (CATMA_C827B919-4F5A-46D9-B9AE-78DC38A9619B);Wanderjahre-BA (CATMA_02BEF971-1549-4655-A4EF-C1FC4EA72DE6);Rabea_Wanderjahre (CATMA_0CFC4EF0-8DD5-43A7-95C5-EEAFA2C2342F);Wanderjahre-AH (CATMA_2CFCA777-4D18-42AE-9144-4311324EBAD4);Wanderjahre-JCM (CATMA_44908A6C-48B4-4373-B176-D10DAEA5500C);Wanderjahre-CA (CATMA_653C6DEB-407F-43C8-BC76-D969FC66641A);WanderjahreNB (CATMA_8EBE384C-3BD2-4CBB-8D78-A9C57A3199D9);Wanderjahre LE (CATMA_A880482C-553C-47AE-970D-CD9BBDC9621C);Wanderjahre NL (CATMA_CA02062B-F6B3-40A6-8D86-E6C5D1A963AF);Wanderjahre-JH (CATMA_E203D09A-CF82-4DF4-91E5-50F3D792B02E);Wanderjahre RT (CATMA_FFE8229F-219B-441D-915D-9DE94600CEF5);Reise der Söhne Megaprazon. Fragmente (CATMA_D0B27074-C416-4B2D-B68B-3C8354ACA8C4);RT (CATMA_AD8D9875-F99A-4030-9AA2-D8EF24350303);AH (CATMA_E8050D90-D89D-4127-B563-3CD2B0F19197)
"Mannes nicht von wahrer Liebe unterscheiden? Warum nahm ich seine Hand an? da ich als Freundin ihn und [...]eine andere Gattin glücklich gemacht hätte. Und betrachten Sie nur diese unglückliche Schlummernde! Ich [...]zittere vor dem Augenblicke, wenn sie aus ihrem halben Totenschlafe zum Bewußtsein erwacht. Wie soll sie [...]leben, wie soll sie sich trösten, wenn sie nicht hoffen kann, durch[...]  
[...]ihre Liebe Eduard das zu ersetzen, was sie ihm als Werkzeug des wunderbarsten Zufalls geraubt hat. Und [...]sie kann ihm alles wiedergeben nach der Neigung, nach der Leidenschaft mit der sie ihn liebt. Vermag die [...]Liebe alles zu dulden, so vermag sie noch vielmehr alles zu ersetzen. [...]An mich darf in diesem Augenblick [...]nicht gedacht werden.[...]
";3;;;;;;;;;;;;3;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;
Marchese von S.;9;;;;;;;;;;;;;;;;;;9;9;;;;;;;;;;;;;;;;;;;;;;;
Margarete konnte ihren Gatten nicht lange in dieser Verlegenheit lassen, um so weniger, als es ihr so [...]sehr zur Ehre gereichte, ihn wieder glücklich zu machen.;6;;;;;;;6;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Margarete konnte ihren Gatten nicht lange in dieser Verlegenheit lassen, um so weniger, als es ihr so [...]sehr zur Ehre gereichte, ihn wieder glücklich zu machen.[...] Sie setzte ihn in Verwunderung, als sie zu [...]seinem Geburtstag, der eben eintrat, und an dem sie ihn sonst mit etwas Brauchbarem anzubinden [...]pflegte, mit einem Körbchen voll Geldrollen ankam. Die verschiedenen Münzsorten waren besonders [...]gepackt, und der Inhalt jedes Röllchens war, mit schlechter Schrift, [...][Seite 305][...]jedoch sorgfältig, darauf gezeichnet.";9;;;;;;;9;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Margarete schilderte ihm darauf sein Betragen, die Art, wie er einnehme und ausgebe, den Mangel an [...]Aufmerksamkeit; selbst seine gutmüthige Freigebigkeit kam mit in Anschlag und freilich ließen ihn die [...]Folgen seiner Handelsweise, die ihn so sehr drückten, keine Entschuldigung aufbringen.";7;;;;;;;7;;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Margarete schilderte ihm darauf sein Betragen, die Art, wie er einnehme und ausgebe, den Mangel an [...]Aufmerksamkeit; selbst seine gutmüthige Freigebigkeit kam mit in Anschlag und freilich ließen ihn die [...]Folgen seiner Handelsweise, die ihn so sehr drückten, keine Entschuldigung aufbringen.[...]";3;;;;;;;3;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Margarete, so will ich meinen sorglichen Hausgeist nennen,;9;;;;;;;9;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Margarete, so will ich meinen sorglichen Hausgeist nennen,[...] war mit ihrem Manne sehr unzufrieden, wenn [...]er die großen Zahlungen, die er manchmal für aufgekaufte Fourrage von Fuhrleuten und Unternehmern [...]erhielt, aufgezählt wie sie waren, eine Zeit lang auf dem Tische liegen ließ, das Geld alsdann in [...]Körbchen einstrich und daraus wieder ausgab und auszahlte, ohne Pakette gemacht zu haben, ohne [...]Rechnung zu führen. ";3;;;;;;;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Marie läßt euch gar sehr darum ersuchen, sagte sie. Kann ich sie nicht noch einmal selbst [...]sprechen[...]? versetzte ich. Das geht nicht an, sagte Frau Elisabeth, und wir trennten uns. ";6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;;;;;;6;;;;;;;
Megaprazon an seine Söhne.;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;;6
"Megaprazon an seine Söhne. ";4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;4;
Megaprazon an seine Söhne. [...]Glück und Wohlfahrt, guten Muth und frohen Gebrauch eurer Kräfte!;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;7;
Mein Leben soll eine Wanderschaft werden.;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;3;;;;;;;;;;
Mein Leben soll eine Wanderschaft werden[...].;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;3;;;;;;;;
Mein Schicksal und Ottilies ist nicht zu [...]trennen und wir werden nicht zu Grunde gehen.;3;;;;;;;;;;;;3;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Mein Sohn, jünger als ich, wird sich trösten können; was mich betrifft, so fürchte ich schwach genug zu sein sie immer zu vermissen";3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;3;;;;;;;;
Mein Verlangen zog mich unwiderstehlich nach dem Zimmerhandwerke, wovon ich das Arbeitszeug so umständlich und genau, von Jugend auf, neben meinem Heiligen gemahlt gesehen.;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;;;;;;;;;6;;;;
"Mein Verlangen zog mich unwiderstehlich nach dem Zimmerhandwerke, wovon ich das Arbeitszeug so umständlich und genau, von Jugend auf, neben meinem Heiligen gemahlt gesehen. Ich erklärte meinen Wunsch; ";3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;3;;;;;;;;;;;
"Mein süßer Freund! das Wunder wodurch Sie Ihre Gesundheit [...]wieder erlangt haben, ist mir selbst so werth und verehrungswürdig, daß ich es mir zur Freude und Pflicht [...]mache, an dem Gelübde Theil zu nehmen, das Sie dagegen zu erfüllen schuldig sind. Ich freue mich, Ihnen [...]einen so sichern Beweis meiner Neigung zu geben; ich will mich auf das genaueste nach Ihrer Vorschrift [...]richten, und ehe Sie mich lossprechen, soll mich nichts von dem Wege entfernen, auf den Sie mich [...]einleiten.";6;;;;;;;;;;;;;;;;;;6;;;6;;;;;;;;;;;;;;;;;;;;;
Meine Anstalt reut mich so wenig, daß ich die Kirche gern, wegen dessen was ihr [...]entgeht, entschädigen will.;6;;;;;;;;;;;;6;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Meine Einrichtung ist gemacht,[...] dir in allem entgegen zu kommen, nur für dich allein zu leben;3;;;;;;;;;;;;3;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Meine Gedichte? versetzte dieser mit Erstaunen. Verzeihen Sie, mein [...]Herr, fügte er hinzu: ich habe nichts als Vokale gehört und die nicht einmal alle. Unterdessen ist es [...]meine Schuldigkeit mich für eine so liebenswürdige
[...] 
[...] Intention dankbar zu erweisen. [...]Der Hofmann schwieg und verschwieg.[...] Der andere suchte sich durch einige [...]wohltönende Komplimente aus der Sache zu ziehen.";12;;;;;;;;;;;;12;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Meiner Freundin schien ihre Wohnung leer, der [...]Spaziergang uninteressant, der Hund, der sonst neben ihr lag, wenn sie an mich schrieb, war ihr, wie das [...]Thier in dem Bild eines Evangelisten, nothwendig geworden, die Briefe wollten nicht mehr fließen.;9;;;;;;;9;;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Melpomene.[...]Hermann und Dorothea.";3;;;;;;;;;;;;;;;;;;;;;;3;3;;;;;;;;;;;;;;;;;;;
Mi;6;;;;;;;;;;;;6;;;;;6;;;;;;;;;;;;;;;;;;;;;;;;;
Mich aufzuopfern, ehe ich aufgeopfert werde;9;;;;;;;;;;;;;;;;;;9;;;9;;;;;;;;;;;;;;;;;;;;;
"Mich aufzuopfern, ehe ich aufgeopfert werde, versetzte die Schlange; versprich mir daß du keinen Stein am[...] Lande lassen willst";6;;;;;;;;;;;;;;;;;;6;6;;;;;;;;;;;;;;;;;;;;;;;
"Mich aufzuopfern, ehe ich aufgeopfert werde[...], versetzte die Schlange; versprich mir daß du keinen Stein am[...] Lande lassen willst.";3;;;;;;;;;;;;;;;;;;3;;;3;;;;;;;;;;;;;;;;;;;;;
"Mich aufzuopfern, ehe ich aufgeopfert werde[...], versetzte die Schlange; versprich mir daß du keinen Stein am[...] Lande lassen willst.[...]";3;;;;;;;;;;;;;;;;;;3;;;3;;;;;;;;;;;;;;;;;;;;;
Mich dünkt, man sieht gerade in diesem Falle, auf welche Abwege man geräth, wenn man Künste [...]vermischt, die nicht zusammen gehören.;7;;;;;;;7;;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Mich dünkt, man sieht gerade in diesem Falle, auf welche Abwege man geräth, wenn man Künste [...]vermischt, die nicht zusammen gehören.[...] ";3;;;;;;;3;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Minchen fürwahr ist gut, und war dir immer gewogen;[...]Neulich fragte sie noch nach dir. Die solltest du wählen!";9;;;;;;;;;;;;;;;;;;;;;;9;;3;;;;6;;;;;;;;;;;;;;
"Minchen saß am Clavier; es war der Vater zugegen,[...]Hörte [...]die Töchterchen[...] singen, und war entzückt und in Laune.";6;;;;;;;;;;;;;;;;;;;;;;6;6;;;;;;;;;;;;;;;;;;;
"Mir aber gefiel er nicht und ich ersuchte den Hausherrn, 

[Seite 39]

[...]ihn [...]zu entfernen. ";6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;;6;;;;;;;;;;;
"Mir aber gefiel er nicht und ich ersuchte den Hausherrn, 

[Seite 39]

[...]ihn [...]zu entfernen. Das geschah auch, aber Felix war unwillig darüber, und es gab eine kleine Scene.";6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;;;;;;6;;;;;;;
"Mir kam [...]das so schmerzlich vor, ich weiß nicht ob mit Recht, daß ich von jenem Augenblick an Niemanden kann etwas[...] aus den Händen fallen sehen, ohne mich danach zu bücken. ";9;;;;;;;;;;;;9;;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Mir schien es auch so, und deßwegen schrieb ich damals die Symptome dieser halb moralischen, halb [...]physischen Krankheit in einen Aufsatz zusammen, den ich das Capitel von den Schälken nannte, weil ich es[...] mir als einen Theil anderer anthropologischen Bemerkungen dachte;[...] [...]ich habe es aber bisher sorgfältig [...]geheim gehalten";3;;;;;;;3;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Mir schien es auch so, und deßwegen schrieb ich damals die Symptome dieser halb moralischen, halb [...]physischen Krankheit in einen Aufsatz zusammen, den ich das Capitel von den Schälken nannte, weil ich es[...] mir als einen Theil anderer anthropologischen Bemerkungen dachte;[...] [...]ich habe es aber bisher sorgfältig [...]geheim gehalten[...].";6;;;;;;;6;;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Mir sind leider Fälle [...]genug bekannt, wo eine innige unauflöslich scheinende Verbindung zweier Wesen, durch gelegentliche [...]Zugesellung eines Dritten, aufgehoben, und eins der erst so schön verbundenen ins lose Weite [...]hinausgetrieben wurde.
";3;;;;;;;;;;;;3;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mit Erstaunen und [...]Ehrfurcht sah sie in eine glänzende Nische hinauf, in welcher das Bildniß eines ehrwürdigen Königs in [...]lauterm Golde aufgestellt war;6;;;;;;;;;;;;;;;;;;6;6;;;;;;;;;;;;;;;;;;;;;;;
Mit Gedanken ist sie schon drüben, wie mit den Augen. Die Bedenklichkeit, mit dem [...]Kinde sich aufs Wasser zu wagen, verschwindet in diesem Drange. Sie eilt nach dem Kahn, sie fühlt nicht [...]daß ihr Herz pocht, daß ihre Füße schwanken, daß ihr die Sinne zu vergehen drohn.;6;;;;;;;;;;;;6;;;;6;;;;;;;;;;;;;;;;;;;;;;;;;;
"Mit Heftigkeit suchte er nunmehr jede Vergnügung wieder, die er bisher hatte entbehren müssen. Er war [...]fleißiger um seine Schöne; alles was er that und vornahm, war leidenschaftlicher; seine Lebhaftigkeit und[...] Anmuth hatten sich in ein heftiges, ja beinahe wildes Wesen verwandelt, das ihm zwar nicht übel ließ, [...]doch niemanden wohlthätig war";6;;;;;;;;;;;;;;;;;;6;6;;;;;;;;;;;;;;;;;;;;;;;
Mit Leichtigkeit und Geschicklichkeit nahmen[...] sie ein Kohlhaupt, eine Artischocke und eine Zwiebel heraus und brachten sie dem Riesen zum Munde;6;;;;;;;;;;;;;;;;;;6;;;6;;;;;;;;;;;;;;;;;;;;;
Mit Ungeduld erwartete er den [...]Augenblick in welchem er sie allein sprechen und ihr seine Aussichten vorlegen könnte;3;;;;;;;;;;;;;;;;;;3;3;;;;;;;;;;;;;;;;;;;;;;;
Mit Ungeduld erwartete er den [...]Augenblick in welchem er sie allein sprechen und ihr seine Aussichten vorlegen könnte[...].;3;;;;;;;;;;;;;;;;;;3;3;;;;;;;;;;;;;;;;;;;;;;;
Mit allen Förmlichkeiten setzte er sein [...]Testament auf;3;;;;;;;;;;;;3;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Mit behaglicher Art, im guten Sinne gesprochen:[...]Ja, das gefällt mir, mein Kind! Mit Freuden erfahr' ich, der Sohn hat[...]Auch wie der Vater Geschmack, der seiner Zeit es gewiesen,[...]Immer die Schönste zum Tanze geführt, und endlich die Schönste[...]In sein Haus, als Frau, sich geholt; das Mütterchen war es.[...]Denn an der Braut, die der Mann sich erwählt, läßt gleich sich erkennen,[...]Welches Geistes er ist, und ob er sich eigenen Werth fühlt.";3;;;;;;;;;;;;;;;;;;;;;;3;;;;;;3;;;;;;;;;;;;;;
"Mit dem größten Ernst stellte er sich vor die große Tafel, [...]die von ein paar Pagen gehalten wurde, und zeichnete mit viel Bedacht und Genauigkeit ein Grabmal, das [...]zwar eher einem langobardischen als einem karischen König wäre gemäß gewesen, aber doch in so schönen [...]Verhältnissen, so ernst in seinen Teilen, so geistreich in seinen Zieraten, daß man es mit Vergnügen [...]entstehen sah und als es fertig war bewunderte.
";9;;;;;;;;;;;;9;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mit der größten Sicherheit und mit vielem Ausdruck sagten sie ziemlich gewöhnliche Sachen;3;;;;;;;;;;;;;;;;;;3;3;;;;;;;;;;;;;;;;;;;;;;;
Mit diesen Worten ermannte er sich und ließ seine Schiffsgesellen rufen. Er trug ihnen auf nach [...]gewohnter Weise ein Fahrzeug zu befrachten, und alles bereit zu halten, daß sie bei dem ersten günstigen[...] Winde auslaufen könnten.;3;;;;;;;;;;;;;;;;;;3;;;3;;;;;;;;;;;;;;;;;;;;;
"Mit diesen Worten ermannte er sich und ließ seine Schiffsgesellen rufen. Er trug ihnen auf nach [...]gewohnter Weise ein Fahrzeug zu befrachten, und alles bereit zu halten, daß sie bei dem ersten günstigen[...] Winde auslaufen könnten.[...] ";3;;;;;;;;;;;;;;;;;;3;;;3;;;;;;;;;;;;;;;;;;;;;
"Mit diesen Worten machte er eine heftige Bewegung; der Habicht flog von seiner Hand, er aber stürzte auf [...]die Schöne los, sie streckte die Hände aus, ihn abzuhalten und berührte ihn nur desto früher";3;;;;;;;;;;;;;;;;;;3;3;;;;;;;;;;;;;;;;;;;;;;;
"Mit diesen Worten machte er eine heftige Bewegung; der Habicht flog von seiner Hand, er aber stürzte auf [...]die Schöne los, sie streckte die Hände aus, ihn abzuhalten und berührte ihn nur desto früher[...].";3;;;;;;;;;;;;;;;;;;3;3;;;;;;;;;;;;;;;;;;;;;;;
"Mit diesen Worten machte er eine heftige Bewegung; der Habicht flog von seiner Hand, er aber stürzte auf [...]die Schöne los, sie streckte die Hände aus, ihn abzuhalten und berührte ihn nur desto früher[...].[...] Das [...]Bewußtsein verließ ihn, und mit Entsetzen fühlte sie die schöne Last an ihrem Busen";3;;;;;;;;;;;;;;;;;;3;3;;;;;;;;;;;;;;;;;;;;;;;
Mit diesen und anderen Bildern beschäftigte man sich sehr ernstlich.;6;;;;;;;;;;;;6;;;;6;;;;;;;;;;;;;;;;;;;;;;;;;;
Mit diesen und andern Sophistereien;3;;;;;;;;;;;;;;;;;;3;3;;;;;;;;;;;;;;;;;;;;;;;
Mit dieser Geschichte mag's so bewenden.;6;;;;;;;6;;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Mit dieser Geschichte mag's so bewenden. Wenn dir's recht ist, so gehe ich noch eine Stunde spazieren;[...] [...]denn du wirst dich nun doch an den Lombretisch setzen.";6;;;;;;;6;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Mit dieser Geschichte mag's so bewenden.[...] Wenn dir's recht ist, so gehe ich noch eine Stunde spazieren; ";3;;;;;;;3;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mit eben der Pünctlichkeit, mit der sie sonst ihrem Papiere täglich gebeichtet hatte, setzte sie auch [...]die Geschichte dieses neuen Verhältnisses fort. [...]Von der ersten Regung, durch eine wachsende Neigung, [...]bis zum[...] Unentbehrlichen der Gewohnheit, war der ganze Lebenslauf dieser Leidenschaft getreulich [...]aufgezeichnet [...]und gereichte dem Manne zur sonderbaren Lectüre, als er einmal zufällig über den [...]Schreibtisch kam und, [...]ohne Argwohn und Absicht, eine aufgeschlagne Seite des Tagebuchs herunterlas.;3;;;;;;;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Mit eben der Pünctlichkeit, mit der sie sonst ihrem Papiere täglich gebeichtet hatte, setzte sie auch [...]die Geschichte dieses neuen Verhältnisses fort. [...]Von der ersten Regung, durch eine wachsende Neigung, [...]bis zum[...] Unentbehrlichen der Gewohnheit, war der ganze Lebenslauf dieser Leidenschaft getreulich [...]aufgezeichnet [...]und gereichte dem Manne zur sonderbaren Lectüre, als er einmal zufällig über den [...]Schreibtisch kam und, [...]ohne Argwohn und Absicht, eine aufgeschlagne Seite des Tagebuchs herunterlas.[...] ";3;;;;;;;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mit eben der Pünctlichkeit, mit der sie sonst ihrem Papiere täglich gebeichtet hatte, setzte sie auch [...]die Geschichte dieses neuen Verhältnisses fort. [...]Von der ersten Regung, durch eine wachsende Neigung, bis[...] zum Unentbehrlichen der Gewohnheit, war der ganze Lebenslauf dieser Leidenschaft getreulich [...]aufgezeichnet und gereichte dem Manne zur sonderbaren Lectüre, als er einmal zufällig über den [...]Schreibtisch kam und, ohne Argwohn und Absicht, eine aufgeschlagne Seite des Tagebuchs herunterlas;3;;;;;;;3;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mit einem reichen [...]Hause verwandt zu sein, hieß es, kann Niemanden helfen:;3;;;;;;;;;;;;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mit entsetzlichem Schrei hereinstürzend rief Nanny: Sie stirbt! Die Fräulein stirbt! Kommen Sie! kommen [...]Sie!;3;;;;;;;;;;;;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Mit flüchtiger
[...] 
[...] Feder setzte er noch hinzu: [...]Ich höre dich kommen. Auf einen Augenblick lebe wohl!
[...]Er faltete den Brief, überschrieb ihn; zum Siegeln war es zu spät[...].";6;;;;;;;;;;;;6;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mit nackten Sohlen ging er gelassen über den [...]heißen Sand hin, und ein tiefer Schmerz schien alle äußeren Eindrücke abzustumpfe;3;;;;;;;;;;;;;;;;;;3;;;3;;;;;;;;;;;;;;;;;;;;;
Mit so billigen Gesinnungen betrachten wir die Anstalten des Architekten zum Ausmalen der Kapelle.;6;;;;;;;;;;;;6;;;;6;;;;;;;;;;;;;;;;;;;;;;;;;;
Mit unaussprechlicher Freude vernahm die schöne Frau, daß sie den Geliebten nun bald sehen [...]und sprechen sollte;3;;;;;;;;;;;;;;;;;;3;3;;;;;;;;;;;;;;;;;;;;;;;
Mit vollkommener Beistimmung der Vorsteherin trat er daher seine Reise an, und hegte in seinem Gemüt die [...]besten Hoffnungen.;3;;;;;;;;;;;;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Mit wie wenig Worten, rief er aus, ließe sich das  
[...]ganze Erziehungsgeschäft aussprechen, wenn Jemand Ohren hätte zu hören.";3;;;;;;;;;;;;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mittag war vorüber, etwas hatte man genossen;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;;;;;9;3;;;;;;;
"Mitteilend war sie im höchsten Grade: [...]denn da ihr durch die [...]Neigung der Tante und des Bräutigams so viel Schönes und Köstliches auf einmal zugeflossen war; so schien[...] sie nichts eigenes zu besitzen, und den Wert der Dinge nicht zu kennen, die sich um sie gehäuft hatten.";9;;;;;;;;;;;;9;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Mitten in der Nacht [...]weckten ihn einige laute Stimmen;";6;;;;;;;;;;;;;;;;;;6;;;6;;;;;;;;;;;;;;;;;;;;;
Mittler;3;;;;;;;;;;;;3;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Mittler hatte seit dem Tode des Kindes Charlotte öfters, obgleich nur auf Augenblicke, besucht. Dieser [...]Unfall, der ihm die  
[...]Wiedervereinigung beider Gatten höchst unwahrscheinlich machte, wirkte gewaltsam auf ihn; aber immer nach[...] seiner Sinnesweise hoffend und strebend, freute er sich nun im Stillen über den Entschluß Ottilies.";6;;;;;;;;;;;;6;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mittler hatte sich diese Zeit öfter sehen lassen und war länger geblieben als sonst gewöhnlich. Der [...]hartnäckige Mann wußte nur zu wohl, daß es einen gewissen Moment gibt wo allein das Eisen zu schmieden [...]ist.;6;;;;;;;;;;;;6;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mittler indessen, voll von dem Gegenstande, gedachte seiner früheren [...]Amtsverrichtungen und hatte überhaupt die Art, sich sogleich in jedem Falle zu denken, wie er nun reden, [...]wie er sich äußeren würde. Diesmal konnte er sich um so weniger zurückhalten, als es nur eine kleine [...]Gesellschaft von lauter Freunden war, die ihn umgab. Er fing daher an, gegen das Ende des Akts, mit [...]Behaglichkeit sich an die Stelle des Geistlichen zu versetzen, in einer munteren Rede seine [...]Patenpflichten und Hoffnungen zu äußeren und um so mehr dabei zu verweilen, als er Charlottes Beifall in [...]ihrer zufriedenen Miene zu erkennen glaubte.;6;;;;;;;;;;;;6;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mittler indessen, voll von dem Gegenstande, gedachte seiner früheren [...]Amtsverrichtungen und hatte überhaupt die Art, sich sogleich in jedem Falle zu denken, wie er nun reden, [...]wie er sich äußeren würde. [...]Diesmal konnte er sich um so weniger zurückhalten, als es nur eine kleine [...]Gesellschaft von lauter Freunden war, die ihn umgab.[...] Er fing daher an, gegen das Ende des Akts, mit [...]Behaglichkeit sich an die Stelle des Geistlichen zu versetzen, in einer munteren Rede seine [...]Patenpflichten und Hoffnungen zu äußeren und um so mehr dabei zu verweilen, als er Charlottes Beifall in [...]ihrer zufriedenen Miene zu erkennen glaubte.;3;;;;;;;;;;;;3;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;
Mittler machte zuerst diese traurige Entdeckung.;3;;;;;;;;;;;;3;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;
"Mittler machte zuerst diese traurige Entdeckung. ";3;;;;;;;;;;;;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mittler mochte lieber einlenken als die Unterhaltung abbrechen, die er so [...]leicht nicht wieder anknüpfen konnte.;3;;;;;;;;;;;;3;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mittler war gerade auf eine seiner Lieblingsmaterien gekommen.;3;;;;;;;;;;;;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mittler, der sein rasches Naturell, seinen unerbittlichen Verstand um so [...]weniger verleugnen konnte;6;;;;;;;;;;;;6;;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Mittler, der sein rasches Naturell, seinen unerbittlichen Verstand um so [...]weniger verleugnen konnte[...], als er sich durch diesen schmerzlichen
[...] 
[...] Ausbruch der Leidenschaft Eduards weit von dem Ziel seiner Reise verschlagen [...]sah, äußerte aufrichtig und derb seine Missbilligung.";3;;;;;;;;;;;;3;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mo;5;;;;;;;;;;;;5;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;
